         51707149 function calls in 16.209 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.284    0.009   12.617    0.421 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:138(bibs)
  2214880    1.134    0.000    1.134    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/map.py:100(is_valid_pair)
  2124581    0.297    0.000    0.297    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/map.py:112(cost)
   276860    4.080    0.000    7.346    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/map.py:123(successors)
      395    0.000    0.000    0.000    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:97(set_g)
   286883    0.069    0.000    0.168    0.000 {built-in method _heapq.heappush}
   276860    0.268    0.000    0.890    0.000 {built-in method _heapq.heappop}
      395    0.013    0.000    0.047    0.000 {built-in method _heapq.heapify}
        1    0.141    0.141    0.243    0.243 {method 'enable' of '_lsprof.Profiler' objects}
       30    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   553776    0.044    0.000    0.044    0.000 {built-in method builtins.len}
     1976    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       60    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  2124581    0.148    0.000    0.148    0.000 {method 'append' of 'list' objects}


